grid_id,gx,gy,cell_lon,cell_lat,mean_visits_2024,std_visits_2024,total_visits_2024,visits_2024
3312_46884,3312,46884,-83.04818563536972,42.330014677943254,2435.6502732240438,5970.358721690794,891448.0,891448.0
3170_46902,3170,46902,-83.22098614151481,42.34300637027706,2430.1939890710382,6000.711562821733,889451.0,889451.0
3313_46884,3313,46884,-83.04697264754024,42.330036346918554,2413.896174863388,5939.004502065909,883486.0,883486.0
3365_46984,3365,46984,-82.98673160500516,42.42115204595915,2397.7704918032787,5873.98075072555,877584.0,877584.0
3315_46939,3315,46939,-83.0461525012956,42.379581622500275,2385.6666666666665,6174.704760830627,873154.0,873154.0
3222_46983,3222,46983,-83.16040172642812,42.417108755040985,2381.6994535519125,5905.803423210618,871702.0,871702.0
3242_46908,3242,46908,-83.13382191740946,42.35006569526239,2320.7978142076504,5672.197471995021,849412.0,849412.0
3308_46883,3308,46883,-83.05300829284704,42.32902783821933,2317.948087431694,5891.507014944576,848369.0,848369.0
3238_46978,3238,46978,-83.1408151947706,42.41297365456604,2299.1994535519125,5664.001146257692,841507.0,841507.0
3238_47003,3238,47003,-83.14158116679722,42.43547290106659,2286.775956284153,5622.412278514075,836960.0,836960.0
3162_46902,3162,46902,-83.23069089671617,42.342817887855034,2285.937158469945,5628.711770026958,836653.0,836653.0
3239_46940,3239,46940,-83.13843874032116,42.378797266125346,2239.382513661202,5477.650394851684,819614.0,819614.0
3311_47014,3311,47014,-83.05320976191172,42.446996542022845,2224.7322404371585,5434.000706380033,814252.0,814252.0
3236_46887,3236,46887,-83.14046032108338,42.331030276166786,2210.311475409836,5416.917225266364,808974.0,808974.0
3314_46885,3314,46885,-83.04578883655483,42.33095804259166,2195.4918032786886,5409.87698350977,803550.0,803550.0
3214_46982,3214,46982,-83.17008725060396,42.41602518825378,2187.9262295081967,5347.557050385364,800781.0,800781.0
3313_46885,3313,46885,-83.04700184299132,42.330936385759955,2179.6311475409834,5383.4890770425445,797745.0,797745.0
3201_46924,3201,46924,-83.18406508177026,42.36352801302953,2179.051912568306,5417.583820633442,797533.0,797533.0
3222_47008,3222,47008,-83.16117481498301,42.4396076957487,2161.3879781420765,5317.123044180876,791068.0,791068.0
3375_47015,3375,47015,-82.97546011930777,42.449263944544676,2141.374316939891,5402.219664154498,783743.0,783743.0
3210_46983,3210,46983,-83.17497654440696,42.416833027198344,2138.931693989071,5272.987148477785,782849.0,782849.0
3238_46934,3238,46934,-83.13946921164911,42.37337473824205,2133.912568306011,5200.297457655032,781012.0,781012.0
3190_46978,3190,46978,-83.19911016534576,42.411869681957626,2130.1939890710382,5247.824963247336,779651.0,779651.0
3315_46886,3315,46886,-83.04460499102629,42.33187972664103,2126.9043715846997,5688.362533324273,778447.0,778447.0
3362_46978,3362,46978,-82.9902051164495,42.41568846439768,2116.5218579234975,5194.919803870693,774647.0,774647.0
3190_46906,3190,46906,-83.196849237177,42.34707378226828,2094.915300546448,5145.361292092066,766739.0,766739.0
3364_46982,3364,46982,-82.9878895076504,42.41933086295624,2089.5218579234975,5160.912923679917,764765.0,764765.0
3353_46960,3353,46960,-83.00062211563831,42.39929713420785,2084.997267759563,5089.602999375233,763109.0,763109.0
3245_46887,3245,46887,-83.1295438487627,42.331233624024094,2084.636612021858,5122.377847839478,762977.0,762977.0
3314_46887,3314,46887,-83.04584719692035,42.332758121157674,2050.48087431694,5204.796730299135,750476.0,750476.0
3351_46983,3351,46983,-83.00370984434089,42.41995587336249,2050.248633879781,5017.847082692439,750391.0,750391.0
3223_47015,3223,47015,-83.16017630569279,42.44593029792077,2033.207650273224,4982.254212039375,744154.0,744154.0
3183_46902,3183,46902,-83.20521571655887,42.343310903766195,2028.0928961748634,4985.0623152025155,742282.0,742282.0
3244_46887,3244,46887,-83.1307567957012,42.331211081100584,2027.4863387978141,5071.130690420192,742060.0,742060.0
3246_46910,3246,46910,-83.12902945422583,42.35195592906274,2018.9617486338798,4919.921510065328,738940.0,738940.0
3238_46925,3238,46925,-83.13919423073915,42.36527492181438,2002.6147540983607,4917.664758194683,732957.0,732957.0
3156_47014,3156,47014,-83.24155493066327,42.44346651579183,2001.2295081967213,4992.356393791067,732450.0,732450.0
3402_47015,3402,47015,-82.94264547962007,42.4498249909213,1989.9535519125684,4861.144070912777,728323.0,728323.0
3149_47014,3149,47014,-83.25006003028972,42.44329979783125,1965.8989071038252,4890.857020695254,719519.0,719519.0
3164_46999,3164,46999,-83.23135553970772,42.43015757532317,1956.72131147541,4856.327645559062,716160.0,716160.0
3206_46983,3206,46983,-83.17983477154522,42.41674070645891,1956.363387978142,4793.858163809723,716029.0,716029.0
3310_46886,3310,46886,-83.05067010288423,42.3317713749726,1949.2431693989072,4779.428270034986,713423.0,713423.0
