grid_id,gx,gy,cell_lon,cell_lat,visits_2025,visitors_2025
3222_46983,3222,46983,-83.16040172642812,42.417108755040985,913280.0,708285.0
3311_47014,3311,47014,-83.05320976191172,42.446996542022845,871955.0,634770.0
3190_46906,3190,46906,-83.196849237177,42.34707378226828,869362.0,683276.0
3312_46884,3312,46884,-83.04818563536972,42.330014677943254,859593.0,777537.0
3312_47014,3312,47014,-83.05199452355943,42.4470183123305,858866.0,684241.0
3242_46908,3242,46908,-83.13382191740946,42.35006569526239,856224.0,659317.0
3313_46884,3313,46884,-83.04697264754024,42.330036346918554,848661.0,764438.0
3290_46928,3290,46928,-83.07617438735045,42.36913558365457,846115.0,717947.0
3162_46902,3162,46902,-83.23069089671617,42.342817887855034,838787.0,616749.0
3238_46978,3238,46978,-83.1408151947706,42.41297365456604,838438.0,565799.0
3214_46982,3214,46982,-83.17008725060396,42.41602518825378,830450.0,749089.0
3299_46914,3299,46914,-83.06483805865199,42.35673262440823,827254.0,721000.0
3201_46924,3201,46924,-83.18406508177026,42.36352801302953,823764.0,543323.0
3353_46960,3353,46960,-83.00062211563831,42.39929713420785,822510.0,663746.0
3236_46887,3236,46887,-83.14046032108338,42.331030276166786,817352.0,713362.0
3239_46940,3239,46940,-83.13843874032116,42.378797266125346,791217.0,659818.0
3313_46885,3313,46885,-83.04700184299132,42.330936385759955,790272.0,650962.0
3344_46944,3344,46944,-83.0110912906838,42.3847050279859,783457.0,567762.0
3183_46902,3183,46902,-83.20521571655887,42.343310903766195,783349.0,614541.0
3308_46883,3308,46883,-83.05300829284704,42.32902783821933,780153.0,646997.0
3308_46882,3308,46882,-83.05297901372099,42.328127802461495,776672.0,598467.0
3210_46983,3210,46983,-83.17497654440696,42.416833027198344,773667.0,671711.0
3314_46885,3314,46885,-83.04578883655483,42.33095804259166,773052.0,720767.0
3391_46979,3391,46979,-82.95500681174669,42.41719492364413,764149.0,581461.0
3364_46982,3364,46982,-82.9878895076504,42.41933086295624,761860.0,606461.0
3164_46999,3164,46999,-83.23135553970772,42.43015757532317,757057.0,503133.0
3222_47008,3222,47008,-83.16117481498301,42.4396076957487,752620.0,534825.0
3362_46978,3362,46978,-82.9902051164495,42.41568846439768,750365.0,612866.0
3245_46887,3245,46887,-83.1295438487627,42.331233624024094,747622.0,639753.0
3402_47015,3402,47015,-82.94264547962007,42.4498249909213,746403.0,644240.0
3337_47015,3337,47015,-83.02164208209342,42.44845842017211,745105.0,556530.0
3149_47014,3149,47014,-83.25006003028972,42.44329979783125,742920.0,546761.0
3238_46925,3238,46925,-83.13919423073915,42.36527492181438,741512.0,566529.0
3246_46910,3246,46910,-83.12902945422583,42.35195592906274,727644.0,577635.0
3298_47014,3298,47014,-83.06900773764275,42.44671235644953,724826.0,549617.0
3238_46934,3238,46934,-83.13946921164911,42.37337473824205,722928.0,643507.0
