grid_id,cell_lon,cell_lat,gx,gy,n_weeks,mean_true,mean_pred_last,mean_pred_mean,std_true,std_pred_last,mae_last,rmse_last,slope_y_true_per_day,slope_y_pred_last_per_day,visits_2025,visitors_2025
3312_47014,-83.05199452355943,42.4470183123305,3312,47014,40,17034.6,17328.50546875,17542.741892496742,2637.661783104742,1343.9629207493535,2573.554296875,3160.0935255437603,-6.891450013401224,6.282079515377925,858866.0,684241.0
3190_46906,-83.196849237177,42.34707378226828,3190,46906,40,16915.95036621094,16799.741796875,16805.66533610026,2418.4137379469116,1266.6276997310226,1842.9442626953125,2411.4667481380166,6.006620143623547,7.354459312600527,869362.0,683276.0
3313_46884,-83.04697264754024,42.33003634691856,3313,46884,40,16756.3,16630.191967773437,16646.552516682943,1561.246152507012,1023.6098581920688,1468.2239990234375,1783.5136570653628,-6.432082551594736,1.7416200284566812,848661.0,764438.0
3311_47014,-83.05320976191172,42.446996542022845,3311,47014,40,16728.824658203124,17514.307885742186,17565.72541503906,2605.329358444587,2179.806767084365,1859.3986083984375,2317.729064465194,-26.883050764498496,-19.633242582731615,871955.0,634770.0
3299_46914,-83.06483805865199,42.35673262440823,3299,46914,40,16543.55001220703,16799.19499511719,16641.564438883463,2594.578309797243,2050.52160199842,2236.781848144531,2823.5081398241377,-2.4837842529754908,17.259547161346678,827254.0,721000.0
3242_46908,-83.13382191740946,42.35006569526239,3242,46908,40,16520.8,16600.809375,16536.085736083984,1111.4712864095136,719.6854166487751,1105.733984375,1355.9660781042269,2.1561243634414455,2.764160967652747,856224.0,659317.0
3162_46902,-83.23069089671617,42.34281788785504,3162,46902,40,16419.175024414064,16969.860205078126,16879.893312581382,2504.368351366106,1328.617371517148,2200.2361083984374,2768.8342034687766,-7.142843257399942,5.570106429869686,838787.0,616749.0
3214_46982,-83.17008725060396,42.41602518825378,3214,46982,40,16224.15,16288.078881835938,16289.502058919272,1065.3311884224736,676.6166497028655,953.8004150390625,1216.2970187515823,-2.432886625569512,3.346732808207448,830450.0,749089.0
3238_46978,-83.1408151947706,42.41297365456604,3238,46978,40,16217.50001220703,16652.48435058594,16783.24912109375,3335.920139950252,1855.5746850646535,2912.189172363281,3824.119877703369,-3.5482709988420424,8.362748407033163,838438.0,565799.0
3313_46885,-83.04700184299132,42.33093638575996,3313,46885,40,16176.5,15269.487158203125,15246.703580729165,2157.2482828469583,1789.347911166554,1630.415185546875,2249.795904664679,16.24794961136425,18.49744648929578,790272.0,650962.0
3312_46884,-83.04818563536972,42.33001467794325,3312,46884,40,16122.275659179688,16491.946142578126,16580.428877766928,1068.4811314075907,1150.5092985451347,982.5027587890625,1259.9880682127784,-4.4690813271617875,-7.8880473566068,859593.0,777537.0
3236_46887,-83.14046032108338,42.33103027616679,3236,46887,40,16108.575,16177.242944335938,16139.900006103515,1732.7582707925535,1236.833800423216,1510.6199951171875,1985.4865784785304,-2.284199946395068,6.314099811440495,817352.0,713362.0
3201_46924,-83.18406508177026,42.36352801302953,3201,46924,40,16000.125,16211.7095703125,16243.374033610025,1810.7060273019727,1240.3884228092927,1372.666748046875,1913.917056224088,1.759729295095175,3.3533035871331647,823764.0,543323.0
3290_46928,-83.07617438735045,42.36913558365457,3290,46928,40,15935.975,16180.682080078124,16181.13560587565,2565.219863496485,1449.6721389404083,2039.104541015625,2688.9449301583027,0.01974001608150139,-7.903965508576766,846115.0,717947.0
3353_46960,-83.00062211563831,42.39929713420785,3353,46960,40,15919.25,16076.87939453125,16109.045520019532,1402.3784329597947,825.8843032986161,1295.32197265625,1565.059794923958,-1.1024658268560716,4.515232673671609,822510.0,663746.0
3210_46983,-83.17497654440696,42.41683302719834,3210,46983,40,15563.425,15471.523583984375,15502.371274820962,1692.8682819025805,1375.5326764481738,1585.19140625,1938.155843551403,-0.7567542213883449,14.335055793101734,773667.0,671711.0
3337_47015,-83.02164208209342,42.44845842017211,3337,47015,40,15530.424987792969,15109.127172851562,15383.943353271485,2849.2952785883685,2703.691447694549,2671.6933471679686,3372.4052661937453,-7.010868642004866,19.217804912075362,745105.0,556530.0
3239_46940,-83.13843874032116,42.37879726612535,3239,46940,40,15491.675,15116.399169921875,15322.955194091797,1559.9872679871628,963.5583573506955,1302.3224609375,1618.5789642685036,5.643192173680004,8.465652718565739,791217.0,659818.0
3183_46902,-83.20521571655887,42.3433109037662,3183,46902,40,15447.15,15276.563525390626,15314.376973470053,1729.2778328183479,1306.1311992403764,1660.92490234375,2112.653204509774,5.632430983650491,10.854050470299526,783349.0,614541.0
3308_46883,-83.05300829284704,42.32902783821933,3308,46883,40,15437.375,15611.774658203125,15744.099076334634,2911.17873463654,2022.7660734989765,2662.986279296875,3300.680780098915,-1.7110828196194128,11.692324312977435,780153.0,646997.0
3308_46882,-83.05297901372099,42.328127802461495,3308,46882,40,15390.675,15679.1291015625,15912.357419840493,3111.2351689131524,1517.2180224148126,2382.2806640625,2998.412306981754,-12.620115250603035,6.50050076638303,776672.0,598467.0
3344_46944,-83.0110912906838,42.3847050279859,3344,46944,40,15376.15,15394.477880859375,15472.58739013672,2576.9242802523027,1394.8884090904367,2076.6798828125,2817.0507702516707,-0.19981238273922214,6.088237565121607,783457.0,567762.0
3314_46885,-83.04578883655483,42.33095804259166,3314,46885,40,15268.55,14914.48095703125,14904.660154215493,937.790828736099,717.3714360707397,715.283056640625,941.0866814018693,6.697775395336369,7.20852054053035,773052.0,720767.0
3391_46979,-82.95500681174669,42.41719492364413,3391,46979,40,15181.075,15580.988623046875,15638.266414388021,2525.0962752653554,1376.06360173879,2221.133837890625,2856.2733786747035,-7.957879924953077,8.812815216890584,764149.0,581461.0
3364_46982,-82.9878895076504,42.41933086295624,3364,46982,40,15126.025024414062,15205.271337890625,15178.274686686196,2248.1324594309394,1615.60454305801,1661.3947998046874,2199.641982691545,7.184093089884592,13.534222273058509,761860.0,606461.0
3222_47008,-83.16117481498301,42.4396076957487,3222,47008,40,14981.375,15020.676025390625,15029.161301676431,1897.7511750584943,1182.2480831287335,1549.008642578125,1995.2319628279502,0.07950951487536698,9.083991546753563,752620.0,534825.0
3164_46999,-83.23135553970772,42.43015757532317,3164,46999,40,14934.075,15263.582153320312,15285.110131835938,3097.0305744125535,2132.895120996418,2468.7473876953127,3263.8657777528974,4.706204770838935,16.7407940727813,757057.0,503133.0
3149_47014,-83.25006003028972,42.44329979783125,3149,47014,40,14734.15,15214.8251953125,15188.220119222005,2403.8966289264804,1743.8980664181106,2024.49111328125,2401.5972894461247,-21.254971857410887,-6.339328666284184,742920.0,546761.0
3402_47015,-82.94264547962007,42.4498249909213,3402,47015,40,14600.325,14691.934252929688,14703.361639404297,1070.076929597312,705.8048831022571,926.8382080078125,1218.6396586807625,-4.474390243902431,2.785618213008419,746403.0,644240.0
3238_46925,-83.13919423073915,42.36527492181438,3238,46925,40,14598.375,14478.7494140625,14604.001186116537,1360.1281931946992,1004.8967122813488,1178.580322265625,1499.081437973341,-0.8798311444652814,8.717748048445472,741512.0,566529.0
3245_46887,-83.1295438487627,42.331233624024094,3245,46887,40,14567.975,14860.636206054687,14976.405629475912,1614.7957954173137,849.0705044353266,1487.9875244140626,1890.8739454309907,-11.7804476011793,2.243139000624021,747622.0,639753.0
3362_46978,-82.9902051164495,42.41568846439768,3362,46978,40,14379.574987792968,15023.072436523438,15126.160327148438,2301.1479861181906,1330.916478108062,1995.9622924804687,2373.215398531511,-3.655038634550471,0.5486064942584289,750365.0,612866.0
3298_47014,-83.06900773764275,42.44671235644953,3298,47014,40,14028.649951171876,15517.593505859375,15392.804361979166,4065.286938366224,2599.138196205805,3428.712109375,4291.311508236475,-28.426347582962023,-11.076920982980411,724826.0,549617.0
3246_46910,-83.12902945422583,42.35195592906274,3246,46910,40,13902.275,14004.031860351562,14045.003755696616,617.8743539812054,482.5710384522204,598.3574951171875,721.1713920150956,-1.588890377914779,-3.093267699573695,727644.0,577635.0
3238_46934,-83.13946921164911,42.37337473824205,3238,46934,40,13886.0,13948.728051757813,13848.41531575521,1601.3158211216053,1138.8349412137898,1466.5505615234374,1736.9694766223304,3.8174216027874426,2.390586615413938,722928.0,643507.0
