grid_id,gx,gy,cell_lon,cell_lat,mean_visits_2024,std_visits_2024,total_visits_2024,visits_2024
3129_46988,3129,46988,-83.27351374148529,42.41942289220392,18234.32075471698,2244.557751738635,966419.0,966419.0
3321_46887,3321,46887,-83.0373558727077,42.332909369419184,17824.716981132075,4242.71782944349,944710.0,944710.0
3294_46886,3294,46886,-83.07007823549138,42.33142249538089,17342.622641509435,4656.686493944335,919159.0,919159.0
3126_47008,3126,47008,-83.2778091743319,42.43734826479975,17204.075471698114,1384.4378444868585,911816.0,911816.0
3299_46914,3299,46914,-83.06483805865199,42.35673262440823,16835.150943396227,2459.2019367866756,892263.0,892263.0
3312_46884,3312,46884,-83.04818563536972,42.330014677943254,16819.77358490566,2053.2492302607575,891448.0,891448.0
3170_46902,3170,46902,-83.22098614151481,42.34300637027706,16782.094339622643,2794.2435791783223,889451.0,889451.0
3313_46884,3313,46884,-83.04697264754024,42.330036346918554,16669.54716981132,2437.1394581232007,883486.0,883486.0
3365_46984,3365,46984,-82.98673160500516,42.42115204595915,16558.188679245282,1949.2592405941423,877584.0,877584.0
3315_46939,3315,46939,-83.0461525012956,42.379581622500275,16474.603773584906,5584.112369590371,873154.0,873154.0
3222_46983,3222,46983,-83.16040172642812,42.417108755040985,16447.20754716981,3085.5861334781844,871702.0,871702.0
3242_46908,3242,46908,-83.13382191740946,42.35006569526239,16026.641509433963,1588.3510981855227,849412.0,849412.0
3308_46883,3308,46883,-83.05300829284704,42.32902783821933,16006.962264150943,4535.960358726087,848369.0,848369.0
3238_46978,3238,46978,-83.1408151947706,42.41297365456604,15877.490566037735,2439.400132128385,841507.0,841507.0
3238_47003,3238,47003,-83.14158116679722,42.43547290106659,15791.698113207547,2243.382760643211,836960.0,836960.0
3162_46902,3162,46902,-83.23069089671617,42.342817887855034,15785.905660377359,2382.9894754607376,836653.0,836653.0
3239_46940,3239,46940,-83.13843874032116,42.378797266125346,15464.415094339623,1638.4613978440236,819614.0,819614.0
3311_47014,3311,47014,-83.05320976191172,42.446996542022845,15363.245283018869,1436.1937629518868,814252.0,814252.0
3236_46887,3236,46887,-83.14046032108338,42.331030276166786,15263.66037735849,1841.4272555511525,808974.0,808974.0
3314_46885,3314,46885,-83.04578883655483,42.33095804259166,15161.32075471698,2351.0158043302795,803550.0,803550.0
3214_46982,3214,46982,-83.17008725060396,42.41602518825378,15109.075471698114,1500.0584497927368,800781.0,800781.0
3313_46885,3313,46885,-83.04700184299132,42.330936385759955,15051.792452830188,2527.9310606680338,797745.0,797745.0
3201_46924,3201,46924,-83.18406508177026,42.36352801302953,15047.792452830188,3006.07322597821,797533.0,797533.0
3222_47008,3222,47008,-83.16117481498301,42.4396076957487,14925.811320754718,2171.648483114029,791068.0,791068.0
3375_47015,3375,47015,-82.97546011930777,42.449263944544676,14787.603773584906,3811.457104323616,783743.0,783743.0
3210_46983,3210,46983,-83.17497654440696,42.416833027198344,14770.735849056604,2329.5183658895526,782849.0,782849.0
3238_46934,3238,46934,-83.13946921164911,42.37337473824205,14736.075471698114,1021.7615356889576,781012.0,781012.0
3190_46978,3190,46978,-83.19911016534576,42.411869681957626,14710.396226415094,2262.7033867896903,779651.0,779651.0
3315_46886,3315,46886,-83.04460499102629,42.33187972664103,14687.67924528302,6241.879076572244,778447.0,778447.0
3362_46978,3362,46978,-82.9902051164495,42.41568846439768,14615.981132075472,1916.3820028313971,774647.0,774647.0
3190_46906,3190,46906,-83.196849237177,42.34707378226828,14466.77358490566,1960.7931841477712,766739.0,766739.0
3364_46982,3364,46982,-82.9878895076504,42.41933086295624,14429.528301886792,2423.2097036919704,764765.0,764765.0
3353_46960,3353,46960,-83.00062211563831,42.39929713420785,14398.283018867925,1262.7187257175206,763109.0,763109.0
3245_46887,3245,46887,-83.1295438487627,42.331233624024094,14395.792452830188,1991.7542884611591,762977.0,762977.0
3314_46887,3314,46887,-83.04584719692035,42.332758121157674,14159.924528301886,3950.3041671714277,750476.0,750476.0
3351_46983,3351,46983,-83.00370984434089,42.41995587336249,14158.32075471698,1564.0329675334551,750391.0,750391.0
3223_47015,3223,47015,-83.16017630569279,42.44593029792077,14040.641509433963,1681.1145123280526,744154.0,744154.0
3183_46902,3183,46902,-83.20521571655887,42.343310903766195,14005.32075471698,1966.363809920603,742282.0,742282.0
3244_46887,3244,46887,-83.1307567957012,42.331211081100584,14001.132075471698,3153.394625130409,742060.0,742060.0
3246_46910,3246,46910,-83.12902945422583,42.35195592906274,13942.264150943396,958.1295487099181,738940.0,738940.0
3238_46925,3238,46925,-83.13919423073915,42.36527492181438,13829.377358490567,1856.2781003670912,732957.0,732957.0
3156_47014,3156,47014,-83.24155493066327,42.44346651579183,13819.811320754718,2963.697130507987,732450.0,732450.0
3402_47015,3402,47015,-82.94264547962007,42.4498249909213,13741.943396226416,1300.2150390375466,728323.0,728323.0
3149_47014,3149,47014,-83.25006003028972,42.44329979783125,13575.830188679245,2751.7761381624678,719519.0,719519.0
3164_46999,3164,46999,-83.23135553970772,42.43015757532317,13512.452830188678,2591.57334426761,716160.0,716160.0
3206_46983,3206,46983,-83.17983477154522,42.41674070645891,13509.981132075472,1615.6574161735073,716029.0,716029.0
3310_46886,3310,46886,-83.05067010288423,42.3317713749726,13460.811320754718,1670.4793917802178,713423.0,713423.0
